keyword,frequency
digital scholarship,135
Koninklijke Bibliotheek,134
"KB, national library of the Netherlands",133
Olaf Janssen,130
KB Lab,126
Digital Humanities,126
Entangled Histories,118
Computational linguistics,117
Police Ordinances,115
Transkribus,113
HTR-transcriptions,104
Wikipedia,91
GLAMwiki,65
Wikimedia Commons,58
Wikidata,41
Wikimedia,37
GLAM,30
Public libraries,29
Public Libraries,28
Openbare bibliotheken,24
digital preservation,20
web archiving,19
webarchiving,16
National Archives of the Netherlands,15
Nationaal Archief,15
digital humanities,14
Wikiproject Verzetskranten,13
Wikipedian in Residence,13
Tim de Haan,13
DBpedia,12
Dutch resistance newspapers from World War II,12
digital heritage,12
cultural heritage,12
Wikibase,11
web archive,10
openbare bibliotheek,10
KB Topstukken,10
Linked open data,9
KB collection highlights,9
history,9
Onderzoek,9
AI,9
KB Collection highlights,8
Crowdsourcing,8
World War 2,8
Illegal Press,8
OpenRefine,8
Delpher,8
public libraries,8
Historical Newspapers,8
OCR,7
introduction,7
101,7
library,7
Kunstmatige intelligentie,6
Research,6
Handwriting Text Recognition,6
Netherlands Wikibase Knowlegde Group,6
webarchive,6
Reading,6
born digital,6
web collection,6
Wikimedia infrastructure,6
Lezen,6
data reconciliation,5
Hay Kranen,5
LEGO,5
Wikibase.cloud,5
bibliotheken,5
openbare bibliotheken,5
bibliotheekcijfers,5
Dutch public libraries,5
LOD,5
WikidataCon,5
progress report,5
DBNL,5
linked open data,5
Public Libraries; Library Network,5
newspapers,5
Album amicorum,4
KPIs,4
Wikimedia Nederland,4
reuse,4
webarchief,4
Linked Open Data,4
Accessibility,4
Linked Open Data Data,4
Alba amicorum,4
Wikipedia in de Openbare Bibliotheek,4
national identity,4
early modern,4
web archaeology,3
Impact,3
Toegankelijkheid,3
Webinar,3
OAIS,3
Digital Scholarship,3
jpeg2000,3
digital heritage reuse,3
metadata,3
digitisation,3
uptake,3
internet history,3
image recognition,3
press photos,3
Artificial intelligence,3
Jacob Heyblocq,3
secure data environment,3
text and data mining,3
distant reading,3
non-consumptive reading,3
datasets,3
Hungary,3
habsburg,3
crown,3
Quality,3
hungary,3
makerspaces,3
Data,3
websites,3
collections as data,3
GLAM metrics,3
makerplaatsen,3
Bibliotheekblad,3
Image reuse,3
duurzaamheid,3
webarchivering,3
Publiek domein,3
linked data,3
RaspberryPI,3
lean back heritage,3
Wikipedian-in-Residence,3
Kodi,3
gemeentelijke monumenten,3
Video,3
public domain day,3
media players,3
Theek5,3
Nationale bibliotheek,3
publieksbereik,3
digitaal erfgoed,3
public library,3
indicators,3
Wikimedia Conferentie Nederland,3
Leaflet,3
Jupyter Notebooks,3
project proposal,3
video,3
HackaLOD,3
Open Refine,3
OpenStreetMap,3
key figures,3
interactive maps,3
geo-json,3
WikidataCon 2019,3
"public libraries, makerspaces",2
workshop,2
Wikibase Working Hours,2
JP2,2
BOP,2
Bibliotheekonderzoeksplatform,2
dienstverlening,2
GLAMwiki uptake,2
Ouders,2
Parents,2
Habsburg,2
Digital Preservation,2
HTR-transcription,2
NL-blogosfeer,2
Optical Character Recognition,2
Text analysis,2
research infrastructure,2
sensitive data,2
data access,2
reconcilation,2
Netwerk Digitaal Erfgoed,2
NDE,2
Wikification,2
web history,2
covid-19,2
corona,2
Topstukken uit de KB,2
CO2-emissies,2
CO2-impact,2
sustainability,2
open access,2
